announce             발표하다.
relieve              구조하다.
swift                빠른
spread               퍼지다. 펴다
force                힘, ..에게 강제하다.
sustain              유지하다. 지지하다.
startle              깜짝 놀라게 하다.
dispute              논쟁하다. 논
perplex              당혹케 하다.
tolerate             참다. 관대히 다루다.
remarkable           주목할 만한
peculiar             독특한, 특유의
conform              (규칙 등을) 따르다.
invert               거꾸로 하다. 뒤집다.
isolate              분리하다.
complain             불평하다. 호소하다.
obsess               (귀신.망상 등에) 사로잡히다.
prevail              우세하다. 널리 보급되다.
grant                승인하다. 주다.
resume               다시 시작하다.
diverse              다양한
distribute           분해하다. 퍼뜨리다.
adjust               조정하다. 맞추다.
minute               미세한, 상세한, 분
obvious              명백한
involved             연관된
prior                이전의
appropriate          적당한, 충당하다. 전유하다.
proclaim             선언하다.
explode              폭발하다. 뒤엎다.
endurance            인내, 지구력
recall               생각해 내다.
attach               붙이다.
indispensable        꼭 필요한
approve              찬성하다.
devise               생각해 내다. 고안하다.
commence             시작하다.
compel               억지로 ..시키다.
compete              경쟁하다.
convince             확신시키다.
prominence           돌출, 두드러짐, 탁월
prompt               신속한
affirm               단언하다. 공정하다.
grumble              불평하다.
amaze                깜짝 놀라게 하다.
concede              양보하다. 인정하다.
assign               할당하다. 임명하다.
inquiry              문의, 조회
deprive              빼앗다.
ascribe              (A를 B의) 탓으로 돌리다.
differ               다르다.
equip                ..에 설비하다.
otherwise            그렇지는 않고, 딴 방법으로
regret               후회하다. 후회
significant          중요한
oppose               반대하다.
excess               과도, 초과, 초과의
unite                결합하다.
dwell                거주하다.
share                몫, 할당, 분배하다, 공유하다.
devote               비치다. 전념하다.
infamous             악명 높은
impose               부과하다.
replace              제자리에 놓다. 대신하다.
substitute           대신하다. 바꾸다.
yield                생산하다. 산출하다.
temper               기질, 기분
reckon               계산하다. 서다. 간주하다.
weary                피로한, 싫증나는
attribute            속성, 특질. (A를 B의) 탓으로 돌리다.
bestow               주다. 수여하다.
furnish              공급하다.
cope                 대처하다. 극복하다.
indulge              만족시키다.
akin                 유사한, 동종의
access               접근, 이용할 수 있는 권리
approach             접근, 접근하다.
dependent            의존하는
inhabit              살다.
relevance            관련, 적절
concentrate          집중하다.
absorb               열중케 하다. 흡수하다.
harmonize            조화하다. 조화시키다.
partake              참가하다.
precede              ..에 선행하다.
commit               위탁하다. 범하다.
prey                 먹이, 희생, 먹이로 하다.
scope                범위, 시야
withstand            ..에 저항하다. 참다.
inflict              (상처.벌 등을) 주다.
provoke              성나게 하다. 유발시키다.
lessen               줄이다. 감소시키다.
entrust              맡기다. 위임하다.
audible              들을 수 있는
medium               매체, 중간의
respectful           경의를 표하다.
preferable           오히려 더 나은
notorious            악명 높은
proficient           숙달은, 능숙한
refrain              그만두다, 참다
yearn                그리워하다.
succession           연속, 계승
reluctant            꺼리는, 마지못해 하는
presume              추정하다.
destitute            빈곤한. ..이 없는
entitle              ..에게 자격을 주다.
dispense             분배하다. 조제하다.
consistent           일치하는, 시종일관된
convert              변화시키다. 개종자, 전향자
meddle               참견하다, 간섭하다.
consign              건네주다. 위탁하다.
dedicate             (시간.생애 등을) 바치다.
irresponsible        무책임한. 책임감이 없는 사람.
allude               언급하다.
distract             (마음.주의 등을) 흩어지게 하다.
utter                내다. 발언하다. 완전한. 전적인.
enact                (법률을) 제정하다. 공연하다.
preside              사회를 보다. 관장하다.
halfway              중간의, 중간에
endow                ..에게 주다. 부여하다.
infirm               허약한. 우유 부단한
unanimous            만장일치의
perceive             지각하다. ..을 눈치채다.
stimulate            자극하다. 격리하다.
decline              쇠하다. 기울다. 쇠퇴. 경사
pant                 숨차다. 헐덕거리다.
defend               방어하다. 변호하다.
exclusive            배타적인, 독점적인
reproach             비난하다. 비난, 질책
extract              추출물. ..로부터 추출하다.
coherent             시종 일관한, 응집성의
surpass              ..보다 낫다. ..을 넘다.
irrelevant           부적절한, 무관계한
defy                 ..에 도전하다. 문제삼지 않다.
exert                노력하다.
diffuse              (지식 등을) 퍼뜨리다. 확산시키다. 널리 퍼진
allege               주장하다. 단언하다.
imaginative          상상력이 풍부한
subtract             (..로부터) 빼다.
soul                 영혼, 사람
elaborate            공들여 만들다. 공들인
release              해방하다. 자유롭게 하다. 해방
infect               ..에 감염시키다.
contemplate          속고하다.
subdue               정복하다. 억제하다.
